o,d,t
E00057227,E33010352,14
E00057641,E33010352,17
E00057664,E33010352,11
E00057666,E33010352,13
E00057673,E33010352,21
E00057681,E33010352,15
E00057697,E33010352,14
E00057700,E33010352,14
E00057851,E33010352,11
E00057855,E33010352,12
E00057859,E33010352,11
E00057882,E33010352,16
E00058812,E33010352,13
E00058814,E33010352,14
E00058817,E33010352,12
E00058821,E33010352,12
E00058842,E33010352,16
E00058859,E33010352,11
E00058866,E33010352,25
E00058870,E33010352,18
E00058899,E33010352,13
E00058902,E33010352,11
E00058907,E33010352,11
E00058917,E33010352,11
E00058930,E33010352,17
E00169609,E33010352,11
E00169611,E33010352,18
E00169614,E33010352,13
E00169615,E33010352,13
E00169618,E33010352,13
E00169628,E33010352,14
E00169785,E33010352,16
E00169810,E33010352,13
E00170262,E33010352,12
